FID,SCD,STR_NAME,BEZLISTE
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16b5,21285,Porzellanmuseum im Augarten,2
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16b4,21286,Augarten Contemporary (Gustinus Ambrosi-Museum),2
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16b3,21287,Pratermuseum,2
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16b2,21288,Madame Tussauds,2
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16b1,21289,Johann Strauß Wohnung,2
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16b0,21290,Museum des Blindenwesens,2
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16af,21291,Heeresgeschichtliches Musem,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16ae,21292,21er Haus-Museum für zeitgenössische Kunst,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16ad,21293,Fälschermuseum,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16ac,21294,Village-Galerie,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16ab,21295,Kunst Haus Wien-Museum Hundertwasser,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16aa,21296,Österreichisches Staatsarchiv,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16a9,21297,Haus Wittgenstein,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16a8,21299,das weisse Haus,4
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16a7,21300,Arnold Schönberg Center,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16a6,21301,Barockmuseum,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16a5,21302,Mittelalterliche Kunst Museum,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16a4,20875,Alpengarten im Belvedere,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16a3,21303,Grillparzer-Zimmer,4
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16a2,21304,Schubert Sterbewohnung,4
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16a1,21305,Dritte Mann Museum,4
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16a0,21306,Kunsthalle Wien,4
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-169f,21307,Generali Foundation,4
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-169e,21308,Condomi-Museum,6
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-169d,21309,Foltermuseum,6
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-169c,21310,Österreichische Mediathek,6
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-169b,21311,Haydnhaus (mit Brahms-Gedenkraum),6
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-169a,21312,Phonomuseum,6
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1699,21313,Sanitärhistorisches Museum,6
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1698,21314,Dokumentationsarchiv des österreichischen Widerstandes,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1697,12688,Jenischenweg,21
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1696,21315,Böhmerwaldmuseum Wien und Erzgebirger-Heimatstube,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1695,21316,Restituta-Dokumentation Glaube gegen NS-Gewalt,5
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1694,21317,Archiv und Sammlung für Geschichte der Arbeiterbewegung,5
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1693,21318,Österreichische Friedrich und Lillian Kiesler Privatstiftung,6
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1692,21319,Hofmobiliendepot-Möbel Museum Wien,7
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1691,21320,Museum der Mechitharistenkongregation,7
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1690,21321,Architekturzentrum Wien,7
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-168f,21322,Zoom Kindermuseum,7
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-168e,21323,Kunsthalle Wien,7
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-168d,21324,Westlicht. Schauplatz für Fotografie,7
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-168c,21326,Wiener Schuhmuseum,8
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-168b,21327,Bäckermuseum,8
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-168a,21328,K&K Weinschatzkammer,8
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1689,21329,Kaiser Franz Josef Hutmuseum,8
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1688,21330,Stefan-Zweig-Archiv,8
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1687,21331,Lichtentaler Pfarrmuseum,9
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1686,21332,Schubert Geburtshaus,9
